gene,genotype,experiment,AreaSum,Label,image,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,BX,BY,Width,Height,Kurt,X.Area
cacnb4a,control,expt1,433052.627,89.5,NA,2432.879927,186.0414888,0.730488764,64.82193258,1026.280899,760.8202247,85.52759551,44.61073596,1.488617978,0.705280899,0.92844382,0,65535,1445.61359,1045.419331,54.59252247,54.28266854,0.085191011,100
cacnb4a,control,expt1,29.955,1,NA,29.955,32.118,0.365,14.132,1289,416,126.87,4.239,4.106,0.244,0.833,0,65535,1821.561,587.874,8.479,11.305,-0.837,100
cacnb4a,control,expt1,613.084,1,NA,613.084,98.98,0.786,34.644,1273,362,11.768,22.478,1.539,0.65,0.95,0,65535,1798.95,493.192,33.916,22.611,-1.189,100
cacnb4a,control,expt1,79.88,3.5,NA,13.31333333,13.92266667,0.7665,5.716833333,991,463.3333333,75,3.210833333,1.546333333,0.684,1,0,65535,1400.4395,653.1143333,4.0035,4.474833333,-0.749833333,100
cacnb4a,control,expt1,54836.043,27,NA,1034.642321,107.7340943,0.762773585,39.12949057,1039.132075,544.4716981,90.21477358,24.96535849,1.534792453,0.674377358,0.949886792,0,65535,1467.09783,756.3860377,35.06224528,27.80984906,-0.275698113,100
cacnb4a,control,expt1,42491.163,17,NA,1287.611,129.367697,0.743,44.81860606,1112.090909,519.2727273,93.961,31.99524242,1.498666667,0.71369697,0.951606061,0,65535,1573.978515,715.8743939,37.88781818,37.45824242,-0.46359375,100
cacnb4a,control,expt1,15828.939,17,NA,479.6648182,72.10636364,0.769727273,24.87,1114.363636,530.0909091,82.71206061,18.83139394,1.463333333,0.752727273,0.957333333,0,65535,1578.789879,738.9851515,21.822,20.23266667,-0.318878788,100
cacnb4a,control,expt1,17651.567,18.5,NA,490.3213056,65.8675,0.732305556,23.77308333,1100.638889,614.8055556,94.39655556,15.96025,1.520916667,0.699,0.942055556,0,65535,1559.645361,862.3963611,20.16102778,17.83780556,-0.568277778,100
cacnb4a,mutant,expt1,678.985,4.5,NA,84.873125,28.863,0.82025,10.363375,1193.75,523.625,80.766,7.32625,1.543,0.721,0.992125,0,65535,1686.957375,734.312125,8.302125,8.30225,-0.80325,100
cacnb4a,mutant,expt1,141466.325,48,NA,1489.119211,137.4125263,0.742063158,47.67034737,1104.094737,717.7263158,91.87826316,33.39929474,1.448968421,0.714568421,0.939231579,0,65535,1555.425453,995.0328842,41.34266316,38.78569474,0.150326316,100
cacnb4a,mutant,expt1,1739.233,5.5,NA,173.9233,48.9426,0.7411,16.7437,1175.4,590.9,114.0546,12.5515,1.2592,0.8039,0.9172,0,65535,1658.8638,828.5846,13.5579,14.2639,-0.5772,100
cacnb4a,mutant,expt1,1170.793,6.5,NA,97.56608333,29.20675,0.755083333,10.42183333,1097.916667,497.3333333,106.064,7.257333333,1.356833333,0.775166667,0.935333333,0,65535,1549.624,699.0784167,8.238416667,8.709083333,-1.300090909,100
cacnb4a,mutant,expt1,174053.859,60.5,NA,1450.448825,137.4823917,0.761658333,47.85254167,1088.133333,243.5833333,87.17415,33.5777,1.457008333,0.721608333,0.943816667,0,65535,1533.205642,323.6249667,38.82648333,41.0876,0.179833333,100
cacnb4a,mutant,expt1,225332,108,NA,1048.055814,124.7288977,0.706493023,43.61705116,1584.088372,811.5069767,98.07468372,29.33811163,1.518534884,0.690367442,0.918009302,0,65535,1579.95814,793.2651163,35.30697674,37.07906977,0.455227907,100
cacnb4a,mutant,expt1,343592.467,51,NA,3401.905614,223.0010594,0.717188119,77.4870495,1025.524752,822.7128713,89.17178218,53.18659406,1.497465347,0.696534653,0.929633663,0,65535,1442.344515,1124.789743,62.0250495,66.85216832,0.435425743,100
cacnb4a,mutant,expt1,339848.067,71.5,NA,2393.296246,188.6647113,0.74215493,65.5820493,1089.056338,844.6830986,86.87627465,45.35790845,1.467908451,0.708760563,0.934647887,0,65535,1534.52031,1162.790092,56.62585211,53.07301408,0.648915493,100
cacnb4a,mutant,expt1,1300.057,2.5,NA,325.01425,61.18825,0.749,22.38775,1198.75,551,62.875,14.3125,1.55775,0.64525,0.94225,0,65535,1694.023,766.638,20.49075,15.898,0.0295,100
cacnb4a,mutant,expt1,4227.68,7,NA,325.2061538,61.00076923,0.740923077,20.92815385,1098.153846,579.1538462,81.05630769,15.80984615,1.361230769,0.763769231,0.929769231,0,65535,1551.538538,809.8482308,17.82738462,17.06661538,-0.507,100
cacnb4a,mutant,expt1,6404.429,7.5,NA,457.4592143,75.70628571,0.751214286,26.54678571,1072.642857,537,98.46071429,18.62121429,1.438357143,0.7235,0.932571429,0,65535,1515.410071,747.8632857,24.02357143,19.68328571,-0.466428571,100
cacnb4a,mutant,expt1,429207.796,54.5,NA,3974.146259,238.4000926,0.747111111,82.09189815,911.6203704,636.8148148,96.82651852,58.12490741,1.423074074,0.728916667,0.938101852,0,65535,1277.707843,861.0983611,67.26634259,72.57555556,0.433314815,100
cacnb4a,mutant,expt1,141051.456,35.5,NA,2015.0208,162.3970571,0.758014286,55.90295714,1235.442857,652.3142857,112.0112429,40.46832857,1.384185714,0.741914286,0.941557143,0,65535,1741.986543,899.7230857,48.70345714,46.48422857,0.302371429,100
cacnb4a,mutant,expt1,35349.129,21,NA,862.173878,96.01821951,0.770829268,32.84068293,1101.487805,677.0243902,92.77029268,24.30834146,1.389219512,0.743731707,0.951195122,0,65535,1553.921122,940.7504878,28.14226829,27.76336585,-0.232365854,100
cacnb4a,mutant,expt2,5493,12.5,NA,228.875,50.49,0.781916667,17.380375,1137.625,627.0833333,107.305375,12.94725,1.336125,0.766041667,0.95025,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,30576,23.5,NA,664.6956522,80.64293478,0.815673913,26.8763913,1016.304348,656.2608696,101.59,21.68273913,1.302652174,0.791826087,0.959152174,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,11559,17,NA,350.2727273,59.62287879,0.804030303,20.59363636,1097.363636,612.3939394,99.60342424,15.04254545,1.319969697,0.777727273,0.962515152,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,202560,51.5,NA,1985.882353,169.9856569,0.741107843,58.76463725,902.2745098,647.2254902,96.6805,41.08666667,1.45122549,0.718352941,0.936215686,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,172192,65,NA,1334.821705,135.1841938,0.762077519,46.94013953,978.4651163,671.3333333,97.14722481,33.31684496,1.394232558,0.741,0.945992248,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,137585,64.5,NA,1074.882813,118.3885391,0.760234375,41.10334375,1066.03125,745.4453125,97.02465625,29.16528125,1.423710938,0.725664063,0.946242188,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,173577,43.5,NA,2018.337209,171.8907326,0.763837209,59.50602326,969.4069767,698.4767442,103.9052326,42.29943023,1.39605814,0.735174419,0.950593023,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,34,1.5,NA,17,19.2425,0.5625,7.8795,1484,483.5,128.215,3.183,2.6675,0.377,0.889,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,35,2,NA,11.66666667,14.63333333,0.663,5.751666667,1589.333333,445.3333333,107.3036667,2.666666667,1.993,0.506333333,0.943333333,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,99,2,NA,33,24.014,0.712666667,8.944,1512.333333,488.6666667,63.435,5.316666667,1.457333333,0.689,0.928666667,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,25879,19.5,NA,681.0263158,92.65539474,0.792947368,32.01607895,1146.5,614.3157895,78.46715789,23.50005263,1.339552632,0.769131579,0.958605263,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,77424,35.5,NA,1106.057143,123.1388429,0.750057143,43.31961429,948.3428571,715.3714286,98.68331429,29.03125714,1.473185714,0.7031,0.939885714,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,mutant,expt2,23010,28,NA,418.3636364,67.85047273,0.770618182,23.36034545,899.5090909,762.3272727,99.27925455,17.30294545,1.468854545,0.740181818,0.943418182,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,9487,22.5,NA,215.6136364,46.71454545,0.785522727,16.33590909,1109.772727,660.4545455,99.95429545,11.85731818,1.334659091,0.764977273,0.945295455,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,74264,36,NA,1045.971831,117.458831,0.771760563,40.62808451,1145.295775,673.0140845,86.83098592,29.05697183,1.392323944,0.740183099,0.946042254,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,21076,20.5,NA,526.9,79.299075,0.81125,26.68125,1182.525,787.275,87.170425,20.553375,1.27185,0.7996,0.95885,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,155610,52.5,NA,1496.25,141.8064423,0.751134615,49.56405769,1135.298077,554.9038462,87.97925,33.60466346,1.485153846,0.702067308,0.946038462,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,101508,36.5,NA,1409.833333,138.8197222,0.764013889,48.45491667,1084.902778,504.5416667,104.0303056,33.28944444,1.459819444,0.718166667,0.950527778,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,94750,45.5,NA,1052.777778,119.7238222,0.753388889,41.84785556,1105.688889,598.1777778,91.63883333,28.91055556,1.458144444,0.714711111,0.940611111,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,236520,67.5,NA,1765.074627,160.0966866,0.756731343,55.51829104,859.8880597,716.4776119,87.75104478,38.87276119,1.430798507,0.726761194,0.946880597,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt2,163977,59.5,NA,1389.635593,135.1637119,0.766957627,47.19748305,1110.110169,691.9067797,91.11542373,32.7785,1.414313559,0.734084746,0.950059322,0,65535,NA,NA,NA,NA,NA,NA
