gene,genotype,experiment,droplet_count,mean_droplet_area,total_adipose_area,mean_feret,mean_circularity,mean_roundness,data_source
foxp1b,control,expt1,45.0,2633.005629,234337.501,69.15060674,0.754044944,0.711449438,morphology
foxp1b,control,expt1,35.5,1711.667371,119816.716,53.6046,0.731071429,0.698828571,morphology
foxp1b,control,expt1,18.0,1235.053514,43226.873,45.88611429,0.726228571,0.6548,morphology
foxp1b,control,expt1,47.5,3325.78083,312623.398,75.11760638,0.724117021,0.6805,morphology
foxp1b,control,expt1,43.5,2472.160965,212605.843,65.22052326,0.750639535,0.708104651,morphology
foxp1b,control,expt1,43.0,1294.133047,110001.309,44.84102353,0.719929412,0.673835294,morphology
foxp1b,control,expt1,64.0,2430.912882,308725.936,64.80126772,0.745173228,0.717661417,morphology
foxp1b,control,expt1,53.5,1438.275953,152457.251,51.23722642,0.731528302,0.69204717,morphology
foxp1b,control,expt1,74.0,3454.644245,507832.704,81.42514966,0.714687075,0.691768707,morphology
foxp1b,control,expt1,94.0,1746.28877,326556.0,57.20020321,0.718855615,0.711160428,morphology
foxp1b,control,expt1,20.5,1017.38205,40695.282,36.7833,0.7779,0.75525,morphology
foxp1b,control,expt1,39.5,2065.852731,161136.513,60.58508974,0.724179487,0.697461538,morphology
foxp1b,control,expt1,57.5,2312.377123,263610.992,66.18624561,0.724982456,0.701131579,morphology
foxp1b,control,expt1,49.0,2397.952031,232601.347,64.28615464,0.739402062,0.710474227,morphology
foxp1b,control,expt1,71.0,2067.14505,291467.452,61.22600709,0.72712766,0.697758865,morphology
foxp1b,control,expt1,48.0,1261.484305,119841.009,46.61473684,0.733810526,0.704526316,morphology
foxp1b,control,expt1,1.0,234.088,234.088,26.005,0.543,0.555,morphology
foxp1b,control,expt1,69.5,2087.595551,288088.186,62.83227536,0.724623188,0.717630435,morphology
foxp1b,control,expt1,57.5,1416.409096,161470.637,50.60208772,0.73145614,0.67595614,morphology
foxp1b,control,expt1,71.0,1290.283688,181930.0,47.03499291,0.759780142,0.72929078,morphology
foxp1b,control,expt1,23.0,252.4417333,11359.878,20.08528889,0.707733333,0.662622222,morphology
foxp1b,control,expt1,63.5,1802.309183,227090.957,57.55448413,0.719571429,0.682190476,morphology
foxp1b,control,expt1,101.0,1448.20398,291089.0,49.09668159,0.713905473,0.674751244,morphology
foxp1b,control,expt1,97.5,1843.634974,357665.185,60.41704639,0.725231959,0.690304124,morphology
foxp1b,control,expt2,3.0,139.6342,698.171,16.8978,0.755,0.6636,morphology
foxp1b,control,expt2,12.5,441.1245417,10586.989,22.09716667,0.780958333,0.775625,morphology
foxp1b,control,expt2,37.5,556.6636622,41193.111,27.40575676,0.774945946,0.735986486,morphology
foxp1b,control,expt2,8.0,128.8468667,1932.703,12.35973333,0.694866667,0.732666667,morphology
foxp1b,control,expt2,34.0,1901.832925,127422.806,52.84508955,0.754492537,0.72541791,morphology
foxp1b,control,expt2,2.5,1066.875,4267.5,38.3285,0.81425,0.82125,morphology
foxp1b,control,expt2,6.5,458.0704167,5496.845,28.40558333,0.7775,0.73475,morphology
foxp1b,control,expt2,1.5,592.5405,1185.081,29.6405,0.7165,0.488,morphology
foxp1b,control,expt2,2.0,1739.058333,5217.175,52.542,0.832,0.864,morphology
foxp1b,control,expt2,3.5,633.1163333,3798.698,30.05016667,0.752,0.638333333,morphology
foxp1b,control,expt2,36.5,793.0163056,57097.174,31.99722222,0.7735,0.7075,morphology
foxp1b,control,expt2,40.0,552.2840127,43630.437,29.21860759,0.768240506,0.735189873,morphology
foxp1b,control,expt2,12.0,1423.403609,32738.283,47.5956087,0.808304348,0.790565217,morphology
kazna,control,expt1,1.0,76.123,76.123,13.049,0.681,0.766,morphology
kazna,control,expt1,11.0,483.9277143,10162.482,25.53566667,0.773238095,0.724190476,morphology
kazna,control,expt1,30.5,715.9280333,42955.682,30.89983333,0.757616667,0.709916667,morphology
