gene,genotype,experiment,value,measure
prrx1b,control,2.0,106.2724431491975,norm_adiposity
prrx1b,control,2.0,723.6080556266088,norm_adiposity
prrx1b,control,2.0,738.2643565038042,norm_adiposity
prrx1b,control,2.0,635.4119551375135,norm_adiposity
prrx1b,control,2.0,588.9921960085634,norm_adiposity
prrx1b,control,2.0,466.8475749556067,norm_adiposity
prrx1b,control,2.0,448.500360915438,norm_adiposity
prrx1b,control,2.0,544.9746995202493,norm_adiposity
prrx1b,control,2.0,448.14321507929714,norm_adiposity
prrx1b,control,2.0,405.2755584380251,norm_adiposity
prrx1b,control,2.0,339.4888543225229,norm_adiposity
prrx1b,control,2.0,361.19250210571767,norm_adiposity
prrx1b,control,2.0,253.96473131487588,norm_adiposity
prrx1b,control,2.0,258.225144713438,norm_adiposity
prrx1b,control,2.0,249.34629055400427,norm_adiposity
prrx1b,control,2.0,376.43070698053344,norm_adiposity
prrx1b,control,2.0,345.39957501458775,norm_adiposity
prrx1b,mutant,2.0,122.94410466608537,norm_adiposity
prrx1b,mutant,2.0,105.65434139353924,norm_adiposity
prrx1b,mutant,2.0,439.90107621852843,norm_adiposity
prrx1b,mutant,2.0,195.22619567386428,norm_adiposity
prrx1b,mutant,2.0,518.0398603677653,norm_adiposity
prrx1b,mutant,2.0,308.86796181573243,norm_adiposity
prrx1b,mutant,2.0,467.048594328472,norm_adiposity
prrx1b,mutant,2.0,268.6101504867584,norm_adiposity
prrx1b,mutant,2.0,521.5856071931247,norm_adiposity
prrx1b,mutant,2.0,421.3317619246731,norm_adiposity
prrx1b,mutant,2.0,646.7762291388659,norm_adiposity
prrx1b,mutant,2.0,387.26563561868034,norm_adiposity
prrx1b,mutant,2.0,364.13861573349703,norm_adiposity
prrx1b,mutant,2.0,374.9570900042423,norm_adiposity
prrx1b,mutant,2.0,778.4844564903632,norm_adiposity
prrx1b,mutant,2.0,505.3537515210013,norm_adiposity
prrx1b,mutant,2.0,374.77599119494306,norm_adiposity
prrx1b,mutant,2.0,566.6133959006622,norm_adiposity
